id;segmentId;templateId;storeId;name;description;badge;type;status;isDefault;createdAt;createdBy;updatedAt;updatedBy
1;3;5;BV62F5;Campanha Aspernatur KG;Voluptatum a inventore.;migration;1;1;False;2025-07-12 07:30:13;maria-ceciliacostela;2025-08-11 07:30:13;theomoura
2;3;2;AJ81E4;Campanha Ipsam UO;Eum nostrum nisi impedit culpa.;loyalty;2;4;False;2025-10-09 00:35:58;caldeirafernanda;2025-11-08 00:35:58;maria-juliacirino
3;5;4;MN55D3;Campanha Inventore UT;Facilis mollitia omnis quaerat.;winback;2;3;False;2025-05-17 22:04:36;hda-mata;2025-06-16 22:04:36;calebe46
4;3;5;ER35J8;Campanha Provident FE;Fuga delectus delectus animi.;winback;1;2;False;2025-05-17 19:45:40;mariane76;2025-06-16 19:45:40;caldeiraana-laura
5;3;3;ER35J8;Campanha Quidem TY;Distinctio aspernatur delectus placeat saepe.;delivery;2;1;False;2025-07-31 13:00:14;arthur62;2025-08-30 13:00:14;da-rosaaurora
6;2;1;FS26K9;Campanha Ipsum PN;Blanditiis sunt itaque doloribus ea.;delivery;1;3;True;2025-07-13 13:51:30;jade52;2025-08-12 13:51:30;jvargas
7;5;4;MN55D3;Campanha Quas JL;Deserunt similique qui doloremque quod quos.;migration;1;3;False;2025-10-09 07:15:59;lorenzopeixoto;2025-11-08 07:15:59;cassianojulia
8;4;3;ZP930B;Campanha Optio SY;Molestias fugiat explicabo laudantium ea nemo amet consequuntur.;loyalty;1;1;True;2025-07-29 12:09:37;mayaalmeida;2025-08-28 12:09:37;martinsemanuelly
9;2;1;MN55D3;Campanha Tempora BP;Dignissimos quibusdam repellat.;loyalty;2;2;True;2025-09-21 15:36:10;pedro-henriquealmeida;2025-10-21 15:36:10;ana-clarafarias
10;1;5;CP53G6;Campanha Vel XC;Neque vero cum labore enim numquam nisi necessitatibus.;migration;2;1;False;2025-06-02 08:01:27;raulrios;2025-07-02 08:01:27;riossamuel
11;2;5;ZP930B;Campanha Dolore GK;Id aperiam eaque officia adipisci.;loyalty;1;4;True;2025-07-22 14:14:56;bmendes;2025-08-21 14:14:56;procha
12;4;1;BV62F5;Campanha Aliquid IW;Suscipit quidem quam ullam in aspernatur illo.;migration;2;1;False;2025-06-03 06:32:42;danielamarques;2025-07-03 06:32:42;luanajesus
13;5;1;ZP930B;Campanha Voluptatum TR;Unde nostrum corrupti in aut.;delivery;1;2;True;2025-09-11 14:36:28;isaacrodrigues;2025-10-11 14:36:28;wda-luz
14;1;2;ER35J8;Campanha Incidunt MR;In illo labore enim saepe blanditiis iusto illum.;migration;1;2;True;2025-11-01 17:59:16;arthur88;2025-12-01 17:59:16;rafaelsiqueira
15;5;2;ER35J8;Campanha Eligendi VB;Illum ex commodi adipisci temporibus in praesentium.;migration;1;3;False;2025-07-09 12:06:19;saragao;2025-08-08 12:06:19;sophiefernandes
16;4;1;QW77C2;Campanha Ex BK;Blanditiis odio hic repellat culpa inventore ullam cum.;winback;2;3;True;2025-10-31 03:30:12;umelo;2025-11-30 03:30:12;maria-luiza85
17;5;5;DQ44H7;Campanha Sequi FP;In corporis facere quaerat nemo.;delivery;2;3;False;2025-07-08 17:44:24;jfarias;2025-08-07 17:44:24;agathacarvalho
18;4;4;BV62F5;Campanha Aliquid XT;Cumque magni sint sapiente.;winback;1;4;False;2025-06-09 03:24:48;lizramos;2025-07-09 03:24:48;ssilveira
19;3;4;DQ44H7;Campanha Blanditiis WZ;Inventore praesentium suscipit iste.;migration;1;1;False;2025-05-27 02:12:16;ana-sophiamendonca;2025-06-26 02:12:16;da-motaotavio
20;5;1;ER35J8;Campanha Similique XG;Est ipsa adipisci alias tempore aut cupiditate.;winback;2;1;False;2025-10-10 02:22:18;antony46;2025-11-09 02:22:18;da-costajoao-pedro
