id;companyId;storeName;storeCity;containerId;createdAt;customer;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;rating;updatedAt;version
1;ZP930B;Boteco Paulista;Sao Paulo;vBUDxR;04/01/2025 00:00;143;Yg96BJ;643878;DirectOrder;POS;Eveniet aspernatur sit totam fugiat nobis.;True;9935;False;IMMEDIATE;TAKEOUT;99FOOD;;CONCLUDED;24;1504;59,92;3.2;04/01/2025 02:00;v2.0.0
2;CP53G6;Emporio Serra Verde;Curitiba;aSZtZW;05/01/2025 00:00;518;MN82AU;712344;DirectOrder;POS;Sint nisi quia eveniet animi.;True;4257;False;SCHEDULED;DELIVERY;APP;;CONCLUDED;31;1353;93,87;4.3;05/01/2025 02:00;v2.0.0
3;DQ44H7;Sabores do Norte;Manaus;vbBdPY;17/03/2025 00:00;778;nV03Wh;977836;DirectOrder;POS;Excepturi consequuntur laudantium nihil officia dolore dicta.;True;7924;False;SCHEDULED;INDOOR;WEB;;DISPATCHED;24;1106;56,76;3.1;17/03/2025 02:00;v2.0.0
4;QW77C2;Padaria Vila Nova;Campinas;WbZWhO;28/01/2025 00:00;95;eB44zy;600153;DirectOrder;POS;Distinctio totam magnam voluptate.;False;2584;False;SCHEDULED;INDOOR;WHATSAPP;;CONCLUDED;11;1087;32,35;3.3;28/01/2025 02:00;v2.0.0
5;FS26K9;Casa do Chef Recife;Recife;eLDDRg;03/02/2025 00:00;550;xT97ex;157616;DirectOrder;POS;Nihil rem cumque ex.;True;7201;False;IMMEDIATE;TAKEOUT;99FOOD;;CANCELED;27;917;68,69;4.0;03/02/2025 02:00;v2.0.0
6;AJ81E4;Cantina Horizonte;Belo Horizonte;ZFUiep;17/04/2025 00:00;371;Jv92wr;369793;DirectOrder;POS;Omnis vero neque assumenda pariatur.;True;2139;False;IMMEDIATE;TAKEOUT;EPADOCA;;DISPATCHED;26;915;56,87;3.5;17/04/2025 02:00;v2.0.0
7;MN55D3;Delivery do Centro;Rio de Janeiro;AMehLX;09/04/2025 00:00;239;NU60WP;165583;DirectOrder;POS;Pariatur impedit sunt esse velit nemo eveniet.;True;7227;False;SCHEDULED;INDOOR;EPADOCA;;CONCLUDED;23;1275;63,14;3.1;09/04/2025 02:00;v2.0.0
8;BV62F5;Restaurante Mar Azul;Salvador;DnEQAF;21/01/2025 00:00;274;FE10pi;559503;DirectOrder;POS;Dicta fugit hic hic neque.;True;3803;False;IMMEDIATE;DELIVERY;EPADOCA;;CONCLUDED;33;1570;80,27;3.9;21/01/2025 02:00;v2.0.0
9;DQ44H7;Sabores do Norte;Manaus;VrtSiZ;18/02/2025 00:00;705;ND31NH;286213;DirectOrder;POS;Iusto itaque hic optio earum aliquid quos sequi.;True;6313;False;IMMEDIATE;DELIVERY;WEB;;PENDING;31;955;61,85;2.9;18/02/2025 02:00;v2.0.0
10;LXK0A1;Cantina Liberdade;Sao Paulo;yRHRqv;14/04/2025 00:00;217;nd93Ye;491238;DirectOrder;POS;Sunt nostrum sint soluta ipsa.;False;4483;False;SCHEDULED;INDOOR;APP;;CONCLUDED;20;1239;43,58;2.9;14/04/2025 02:00;v2.0.0
11;DQ44H7;Sabores do Norte;Manaus;ATvXby;19/01/2025 00:00;575;dB31Ik;791041;DirectOrder;POS;At corrupti alias consectetur.;False;8019;False;SCHEDULED;INDOOR;WEB;;CONCLUDED;26;1139;70,24;3.0;19/01/2025 02:00;v2.0.0
